Zone_PrimaryKey,PrimaryKey,Deploy_Count
10813,12160,2
10813,180570,56
10813,180384,17
10813,180385,1
10813,180383,9
10813,180380,2
10813,12047,7
10812,12147,1
10812,12150,1
10812,180221,30
10812,180410,22
10812,180340,15
10812,12023,1
10812,180420,1
10812,12153,1
10812,12178,1
10812,12151,1
10812,12039,1
10812,12038,1
10812,12019,1
10812,12087,1
10812,12033,6
10812,12031,5
10812,12030,3
10812,12034,3
10812,12176,1
10812,12177,1
10812,12097,2
10812,12175,1
10812,12149,1
10812,180401,17
10812,180400,4
10812,180391,12
10812,12098,3
10812,12152,3
10812,180392,17
10812,180211,24
10812,12145,1
10812,180230,6
10812,180231,6
10812,180350,13
10812,180890,1
10812,12144,1
10812,12042,1
10812,12043,1
10812,12040,1
10812,12041,1
10812,12020,1
10812,12021,1
10812,12044,1
10812,12045,1
10812,12029,2
10812,12024,1
10812,12088,1
10812,180430,26
10812,180431,9
10812,12100,3
10812,12099,1
10812,14182,1
10812,12026,1
10812,180390,5
10812,12143,1
10812,12142,1
10812,12141,1
10812,12027,1
10812,180360,20
10812,12146,1
10812,180450,7
10812,180451,9
10812,12025,1
10812,180384,3
10812,12148,1
10812,180382,1
10812,180380,10
10812,180381,11
10811,180320,40
10811,180220,8
10811,180223,1
10811,180222,15
10811,180261,8
10811,180260,34
10811,180262,1
10811,180200,15
10811,12139,1
10811,12018,7
10811,12128,1
10811,12015,1
10811,12014,1
10811,12017,12
10811,12016,1
10811,12011,1
10811,12010,1
10811,12013,1
10811,12012,1
10811,12095,1
10811,12094,1
10811,12138,1
10811,12096,1
10811,12091,1
10811,180251,25
10811,12093,1
10811,12092,1
10811,12132,1
10811,12133,1
10811,12130,1
10811,12131,1
10811,12136,1
10811,12137,1
10811,12134,1
10811,12090,1
10811,180210,17
10811,180310,21
10811,180230,13
10811,180270,21
10811,12087,1
10811,180330,1
10811,12189,1
10811,180250,3
10811,12028,62
10811,12029,6
10811,12140,1
10811,12008,1
10811,12009,1
10811,12006,1
10811,12007,1
10811,12004,1
10811,12005,1
10811,12002,1
10811,12003,1
10811,12001,1
10811,12129,1
10811,180242,1
10811,180240,34
10811,12127,3
10811,12135,1
10811,12125,7
10811,12088,1
10811,12126,7
10816,102600,268
10815,12125,4
10815,180711,20
10815,180710,49
10815,180712,1
10815,180732,1
10815,180731,6
10815,180730,15
10815,12167,1
10815,12174,1
10815,180680,40
10815,180690,16
10815,12173,1
10815,12170,1
10815,12171,1
10815,12172,1
10815,12088,1
10815,12028,125
10815,180702,1
10815,180700,43
10815,180701,30
10815,12169,1
10815,180720,17
10815,180721,4
10815,180722,1
10815,12168,1
10815,12086,1
10815,12087,1
10815,12084,4
10815,12085,5
10815,12082,8
10815,12083,5
10815,12123,1
10815,180742,1
10815,12124,1
10815,180740,39
10815,180741,44
10814,12118,2
10814,180341,31
10814,180481,1
10814,180480,10
10814,12079,1
10814,12078,1
10814,12077,1
10814,12076,1
10814,12075,1
10814,12074,1
10814,12073,1
10814,12072,1
10814,12071,1
10814,12070,1
10814,12165,1
10814,180630,1
10814,12116,2
10814,12164,1
10814,12033,1
10814,12028,15
10814,12031,1
10814,12030,2
10814,12034,2
10814,180373,1
10814,180372,16
10814,180371,37
10814,180441,16
10814,180443,1
10814,180442,33
10814,180650,68
10814,180651,1
10814,180652,1
10814,180672,1
10814,180670,37
10814,180671,1
10814,12163,1
10814,12087,2
10814,12080,1
10814,12162,1
10814,12119,2
10814,12068,1
10814,12069,1
10814,12063,1
10814,12064,1
10814,12065,1
10814,12066,1
10814,12067,1
10814,180621,34
10814,180620,38
10814,180432,34
10814,180640,40
10814,12117,2
10814,180470,10
10814,180471,1
10814,12166,1
10814,180452,8
10814,180361,16
10814,180362,17
10814,12081,1
10814,180363,1
10814,180661,1
10814,180660,60
10814,12088,2
10814,180662,1
10351,130184,84
10351,10299,1
10351,130182,31
10351,130172,1
10351,130173,13
10351,130171,11
10351,110125,55
10351,130189,2
10351,130213,11
10351,110126,96
10351,130211,33
10351,110124,2
10351,110123,5
10351,110122,59
10351,130214,8
10351,130183,20
10351,139020,1
10201,11240,9
10201,11344,1
10201,11245,4
10201,11341,1
10201,11342,1
10201,11487,7
10201,11480,1
10201,11269,1
10201,11268,1
10201,11248,13
10201,11263,1
10201,11247,10
10201,11246,10
10201,11267,1
10201,11266,1
10201,11265,1
10201,11264,1
10201,11281,1
10201,11280,1
10201,11286,1
10201,11243,8
10201,11331,1
10201,11330,1
10201,11332,1
10201,11270,1
10201,11271,1
10201,11233,5
10201,11237,3
10201,11259,1
10201,11256,1
10201,11257,1
10201,11255,1
10201,11476,5
10201,11477,3
10201,11474,2
10201,11475,5
10201,11473,2
10201,11478,1
10201,11479,9
10116,110112,59
10116,10060,1
10116,110170,8
10116,110132,3
10116,110120,15
10114,110022,104
10114,110041,5
10114,110032,15
10114,10030,1
10115,110131,16
10115,10053,2
10115,110111,82
10112,110004,52
10112,110002,37
10112,110003,47
10112,10040,1
10112,10041,3
10112,10035,12
10112,110042,9
10112,110043,11
10112,110060,14
10112,10029,1
10112,10024,10
10112,110021,32
10112,10022,8
10112,10023,1
10112,10021,1
10112,10039,1
10112,110070,62
10112,110031,10
10112,10034,1
10112,10037,1
10112,10036,1
10112,10031,1
10112,10033,1
10112,10038,1
10113,10062,1
10113,10063,4
10113,10061,1
10113,10064,2
10113,10059,1
10113,10058,3
10113,10057,1
10113,10054,15
10113,10052,1
10113,110110,255
10113,110130,47
10113,110150,24
10113,10051,1
10113,110140,24
10113,10065,15
10113,110160,16
10113,110180,34
10111,10005,1
10111,10006,1
10111,10007,3
10111,110000,58
10111,10001,1
10111,10002,1
10111,10003,1
10111,10008,4
10111,10009,4
10111,110040,6
10111,119000,1
10111,10012,4
10111,10013,1
10111,110030,4
10111,110020,79
10111,10010,2
10111,10011,1
10111,110001,6
10451,140130,1
10451,140050,44
10451,10452,1
10451,149000,1
10451,140092,31
10451,140151,14
10451,140150,20
10451,140140,70
10611,160190,19
10611,160210,26
10611,160510,35
10611,160310,45
10611,160350,101
10611,160230,16
10611,160360,18
10611,11643,1
10611,160540,29
10611,160130,22
10611,160400,29
10611,160270,29
10611,160330,42
10611,160250,76
10611,11623,1
10611,160150,100
10611,11622,1
10611,160520,29
10611,160110,117
10611,160290,12
10611,11621,1
10611,160480,33
10611,160390,1
10611,11605,1
10611,11604,1
10611,11607,1
10611,11606,1
10611,11601,1
10611,11626,1
10611,11603,1
10611,11602,1
10611,11627,1
10611,11629,5
10611,11628,1
10611,11609,1
10611,11608,1
10611,11646,1
10611,160200,23
10611,160180,79
10611,11613,4
10611,11625,1
10611,160260,1
10611,11638,1
10611,11624,1
10611,160340,71
10611,160370,29
10611,210000,1
10611,160280,15
10611,160120,100
10611,160220,54
10611,11640,1
10611,160300,29
10611,160380,24
10611,160240,28
10611,160320,26
10611,160160,150
10611,11698,1
10611,160140,91
10611,160410,17
10611,11645,1
10611,160100,140
10611,11697,1
10611,160420,1
10611,160430,56
10611,11644,1
10611,160490,30
10611,11614,5
10611,11612,1
10611,11639,1
10611,11610,1
10611,11611,1
10611,11634,1
10611,11635,1
10611,11636,1
10611,11637,10
10611,11630,5
10611,11631,7
10611,11632,1
10611,11633,1
10593,150140,1
10593,150020,68
10593,150060,79
10593,150160,1
10593,150150,1
10593,150097,1
10593,150096,1
10593,150095,1
10593,150094,1
10593,150093,1
10593,150092,1
10593,150091,1
10593,150090,1
10593,150050,163
10593,150130,1
10593,18207,1
10593,150110,1
10593,150170,1
10593,18208,1
10593,18209,1
10593,18206,1
10593,150070,86
10593,18204,1
10593,18205,1
10593,18202,1
10593,18203,1
10593,18201,1
10593,150120,1
10593,150040,8
10593,150080,10
10591,150000,96
10591,150030,2
10591,150020,320
10591,18210,1
10591,150010,54
10591,150290,36
10616,160460,21
10616,160440,16
10616,11708,1
10616,11709,1
10616,11704,1
10616,11705,1
10616,11706,1
10616,11642,1
10616,11700,1
10616,11701,1
10616,11702,1
10616,11703,1
10616,11641,1
10616,160470,1
10616,160450,25
10616,11707,1
10616,11699,1
10616,11713,1
10616,11712,1
10616,11711,1
10616,11710,1
10616,11714,1
10616,160480,1
10619,160720,14
10619,11683,1
10619,11682,1
10619,160560,3
10619,160690,44
10619,11667,1
10619,11666,1
10619,11665,1
10619,160710,13
10619,11689,12
10619,160610,104
10619,11660,1
10619,11685,1
10619,11684,1
10619,11681,1
10619,11680,1
10619,11669,1
10619,11668,1
10619,160580,156
10619,160630,15
10619,160700,50
10619,160550,27
10619,160570,180
10619,160620,51
10619,11670,1
10619,11671,1
10619,11672,1
10619,11673,1
10619,11674,1
10619,160600,96
10619,11677,1
10619,160640,14
10619,11692,7
10619,160730,33
10619,11691,1
10619,11658,1
10619,11659,1
10619,160590,13
10619,11656,1
10619,11657,1
10619,11655,1
10751,20186,1
10751,20187,1
10751,20184,1
10751,20185,1
10751,20182,1
10751,20183,1
10751,20181,1
10751,200970,1
10751,201040,8
10751,201050,16
10751,200940,13
10751,200950,6
10751,20189,1
10751,200910,16
10751,20188,1
10751,200960,19
10751,200980,1
10751,200990,1
10751,200920,11
10751,200930,4
10751,201030,42
10801,13089,1
10801,13088,1
10801,13085,1
10801,13084,1
10801,13087,1
10801,13086,1
10801,13081,1
10801,13080,1
10801,13083,1
10801,13082,1
10801,13005,1
10801,13004,1
10801,13007,1
10801,13006,1
10801,13001,1
10801,13003,1
10801,13002,1
10801,13009,1
10801,13008,1
10801,13098,1
10801,13099,8
10801,13096,1
10801,13097,1
10801,13094,1
10801,13095,1
10801,13092,1
10801,13093,1
10801,13091,1
10801,13016,1
10801,13014,1
10801,13015,1
10801,13012,1
10801,13013,1
10801,13010,1
10801,13011,1
10801,13018,1
10801,13019,1
10801,13023,1
10801,13022,1
10801,13021,1
10801,13020,1
10801,13027,1
10801,13026,1
10801,13025,1
10801,13024,1
10801,13028,1
10801,13038,1
10801,13039,1
10801,13034,1
10801,13035,1
10801,13036,1
10801,13037,1
10801,13030,1
10801,13031,1
10801,13032,1
10801,13033,1
10801,13049,1
10801,13048,1
10801,13041,1
10801,13040,1
10801,13043,1
10801,13042,1
10801,13045,1
10801,13044,1
10801,13047,1
10801,13046,1
10801,13058,1
10801,13059,1
10801,13052,1
10801,13053,1
10801,13050,1
10801,13051,1
10801,13056,1
10801,13057,1
10801,13054,1
10801,13055,1
10801,13067,1
10801,13066,1
10801,13065,1
10801,13064,1
10801,13063,1
10801,13062,1
10801,13061,1
10801,13060,1
10801,13069,1
10801,13068,1
10801,13104,4
10801,13105,5
10801,13106,7
10801,13100,6
10801,13101,6
10801,13102,4
10801,13103,4
10801,13070,1
10801,13071,1
10801,13072,1
10801,13073,1
10801,13074,1
10801,13075,1
10801,13076,1
10801,13077,1
10801,13078,1
10801,13079,1
5006,180040,29
5006,180070,9
5006,180020,4
10592,18211,3
10592,150060,30
10592,150050,24
10592,150040,13
10592,150020,32
1018,50001,2
1018,12084,3
1018,180670,2
1019,910020,1
1019,910010,1
1019,91010,1
1017,20002,1
1012,180040,1
1012,180130,1
1012,10216,2
1012,10218,2
1012,10222,1
1012,10223,1
1013,20107,4
1013,100190,2
1013,170460,3
1013,200510,3
1013,200010,27
5008,18203,1
5007,140070,21
5007,140040,1
5007,140050,5
5007,140000,14
5007,140010,5
5007,140020,1
30701,99212,5
30701,99213,7
30701,99210,6
30701,99211,7
30701,99216,6
30701,99214,6
30701,99207,8
30701,99215,6
30701,99209,6
30701,99208,6
30701,99218,9
30701,99206,3
30701,99219,4
30701,910005,1
30701,99217,7
30702,120230,12
30702,910001,1
30702,910002,22
30702,170210,6
10228,11406,2
10228,122260,1
10228,11498,12
10228,122384,12
10228,122382,8
10228,122383,19
10228,122381,16
10227,120450,1
10227,120140,4
10227,120180,12
10227,120130,4
10220,122040,30
10220,122020,116
10220,122060,64
10220,11563,1
10220,11407,1
10220,90250,1
10220,11405,1
10220,11404,1
10220,122080,18
10220,11401,1
10220,11409,1
10220,11408,1
10220,11429,3
10220,11428,4
10220,11571,4
10220,11421,1
10220,11420,1
10220,11423,1
10220,11422,1
10220,11425,1
10220,11424,1
10220,11427,25
10220,11426,1
10220,122210,25
10220,122050,46
10220,11406,1
10220,122070,14
10220,11551,1
10220,122030,55
10220,11495,1
10220,122010,122
10220,11402,1
10220,11410,1
10220,11411,1
10220,11412,1
10220,11413,1
10220,11414,1
10220,11415,1
10220,11416,1
10220,11417,1
10220,11418,1
10220,11419,1
10220,11468,25
10220,11570,6
10220,11432,1
10220,11433,2
10220,11430,1
10220,11431,1
10222,122280,24
10222,122180,30
10222,11568,1
10222,11569,1
10222,122240,26
10222,122100,83
10222,11501,1
10222,11571,1
10222,11565,6
10222,11566,6
10222,11567,1
10222,122140,46
10222,122160,31
10222,122120,19
10222,11504,1
10222,11502,1
10222,11503,1
10222,122200,1
10222,11465,1
10222,11467,1
10222,11466,1
10222,11461,1
10222,11460,1
10222,11463,1
10222,11462,1
10222,11570,4
10222,11480,1
10222,11468,16
10222,11427,10
10222,122190,1
10222,122110,24
10222,122250,20
10222,122290,1
10222,11496,1
10222,11497,1
10222,122170,3
10222,122130,66
10222,122150,51
10222,11475,2
10222,11458,1
10222,11459,1
10222,11470,1
10222,11454,1
10222,11455,1
10222,11456,1
10222,11457,1
10222,11451,1
10222,11453,1
1007,99051,1
1007,99203,1
1007,99205,1
1007,99204,1
1007,99003,1
1007,99000,1
1007,99006,1
1007,99005,1
1007,99004,1
1007,99514,1
1007,99504,1
1007,99510,1
1004,139000,1
1002,99201,4
1002,110000,2
1002,18201,1
1002,140060,1
1002,10431,1
1002,110023,1
1001,99201,5
1001,10001,1
1000,99203,3
1000,130171,1
1000,99204,1
1000,130162,1
1000,18210,1
1000,99221,1
1000,18201,1
1000,130211,1
1000,99000,2
1000,110070,2
1000,110060,2
1000,139020,1
1000,130182,1
10416,140070,7
10416,140080,29
10416,10432,1
10415,140120,1
10415,140110,61
10414,10434,1
10414,10444,1
10414,140081,38
10414,10445,1
10414,140090,42
10414,10433,1
10414,10468,1
10413,140100,1
10413,140090,23
10412,10460,1
10412,10439,1
10412,10450,3
10412,10470,1
10412,140061,68
10412,140060,75
10412,10431,9
10412,10441,4
10412,10442,2
10412,140081,154
10412,140080,22
10412,10443,4
10412,10466,2
10412,10428,1
10412,10429,1
10412,10448,1
10412,10463,3
10412,10469,1
10412,10461,2
10412,10422,1
10412,10423,1
10412,10421,1
10412,10426,1
10412,10427,1
10412,10424,1
10412,10425,1
10412,140070,45
10412,10464,3
10412,140050,70
10412,10465,3
10412,10462,2
10412,10449,4
10651,160820,1
10651,160830,1
10651,160790,19
10651,160780,17
10651,160840,16
10651,11696,1
10651,160800,29
10651,160810,35
10651,160770,68
10651,777777,1
10651,160880,1
10651,160850,10
10651,160860,1
10651,160870,6
20402,10104,1
10251,122402,10
10251,120340,4
10251,11553,1
10251,11498,4
10251,120330,31
10251,120320,31
10251,11552,1
10251,11555,1
10251,11554,1
10251,11557,1
10251,11556,1
10251,122401,104
10251,11558,1
10251,11562,1
10251,120310,91
10251,120300,192
10251,790000,1
10253,122387,33
10253,11499,1
10253,122388,1
10253,122389,1
10253,122386,63
10253,122400,3
10253,790000,1
10253,122385,345
10252,122403,6
10252,120390,5
10252,120380,79
10252,11506,1
10252,11505,1
10252,120370,132
10252,120360,21
10252,120350,82
10252,790000,1
10252,124000,6
10252,122405,81
10252,122404,141
10252,122406,61
40001,700010,106
40001,601003,1
40001,601002,1
40001,601001,1
40001,601000,1
40001,700050,1
40001,700020,96
40001,700030,105
40001,700040,1
10851,180540,1
10851,180500,89
10851,12087,2
10851,180490,90
10851,180530,2
10851,180520,13
10851,790003,1
10851,12088,2
10851,180510,12
10620,11675,1
10620,11676,1
10620,160650,17
10620,160660,6
10620,160670,9
10620,11716,2
10620,11715,2
10620,11720,2
10620,11717,2
10620,11719,2
10620,160681,4
10620,160680,4
20101,610000,1
10151,10071,1
10151,10073,2
10151,10075,2
10151,110121,16
10151,10077,2
10151,119020,1
10151,110181,9
10151,110190,71
10151,110023,95
10151,110033,14
10151,110171,9
10151,110024,1
10311,10201,2
10311,10217,1
10311,10210,6
10311,10213,1
10311,10212,1
10311,10219,1
10311,130080,24
10311,130020,6
10311,139000,1
10311,10206,1
10311,10207,1
10311,130071,6
10311,10202,1
10311,130076,1
10311,130075,3
10311,130074,3
10311,130079,1
10311,130078,1
10311,10220,1
10311,130090,1
10311,10209,1
10311,130010,4
10311,130077,1
10312,10298,1
10312,10295,1
10312,10294,1
10312,10297,1
10312,10296,1
10312,10291,2
10312,10293,2
10312,10292,2
10312,130143,1
10312,10258,1
10312,130140,1
10312,10236,1
10312,10235,1
10312,130086,1
10312,130084,50
10312,130085,1
10312,10240,1
10312,10253,1
10312,10257,1
10312,10256,3
10312,10252,1
10312,130120,26
10312,130161,8
10312,130194,7
10312,130162,40
10312,10248,1
10312,10249,1
10312,130150,29
10312,130114,12
10312,130192,39
10312,10241,2
10312,10246,2
10312,10247,2
10312,130115,3
10312,130110,3
10312,130111,20
10312,130112,5
10312,130113,1
10312,130132,35
10312,130133,40
10312,130130,70
10313,10275,1
10313,10274,1
10313,10271,109
10313,10270,1
10313,130280,16
10313,10301,1
10313,130181,37
10313,130260,54
10313,130261,27
10313,130220,27
10313,130221,1
10313,130101,1
10313,10261,1
10313,10262,1
10313,10263,1
10313,10264,1
10313,10265,1
10313,10269,1
10313,10284,1
10313,130290,90
10313,10282,1
10313,10283,1
10313,10280,1
10313,10281,1
10313,130212,17
10313,130210,37
10313,130270,11
10313,130250,33
10314,10255,1
10314,130141,15
10314,130082,1
10314,130131,16
10315,10240,1
10315,10249,1
10315,10255,2
10315,10298,1
10316,130330,7
10316,130350,6
10316,10255,1
10316,130300,1
10316,130310,2
10317,130240,1
10317,10285,1
10317,130210,5
10317,130260,6
1026,20182,1
1026,20183,1
1026,20092,1
1026,200940,2
1026,200950,1
1026,200910,5
1026,200920,3
1021,100880,24
1021,101580,50
1021,11407,1
1021,11406,1
1021,11405,1
1021,11404,1
1021,11403,1
1021,11402,1
1021,11409,8
1021,0,1
1021,100850,54
1021,101720,17
1021,100870,10
1021,101010,1
1021,100680,13
1021,101590,25
1021,11410,1
1021,101040,21
1021,162030,20
1021,100660,30
1021,101240,14
1021,100860,25
1021,100980,4
1022,800050,7
1022,800040,15
1022,800070,15
1022,800090,2
1022,800080,4
1022,800100,1
1022,800030,15
1022,800060,4
1022,800020,20
1022,800010,16
10714,20065,4
10714,20064,1
10714,200500,1
10715,20098,1
10715,20099,1
10715,200740,24
10715,200660,6
10715,200745,5
10715,20143,1
10715,20091,1
10715,20092,1
10715,200810,33
10715,20094,6
10715,20095,3
10715,20096,4
10715,20097,1
10715,20139,5
10715,20138,1
10715,20118,2
10715,200650,11
10715,20115,1
10715,20114,1
10715,20117,2
10715,20111,1
10715,200640,6
10715,20113,2
10715,20144,1
10715,20140,1
10715,200840,4
10715,200630,4
10715,20142,1
10715,20124,1
10715,20125,1
10715,20126,1
10715,20127,1
10715,200750,1
10715,20121,5
10715,20122,5
10715,20123,1
10715,200790,15
10715,20128,2
10715,20129,2
10715,20107,12
10715,20104,1
10715,20105,1
10715,20102,1
10715,20103,17
10715,20100,4
10715,20101,4
10715,20067,4
10715,20068,17
10715,200820,4
10715,200670,41
10715,20093,7
10715,20120,3
10716,200850,12
10716,200890,1
10716,200880,15
10716,200870,3
10716,200860,3
10716,200875,8
10716,200877,78
10716,200876,6
10716,20133,2
10716,20132,2
10716,20131,2
10716,20130,2
10716,20137,1
10716,20136,4
10716,20135,4
10716,20134,8
10711,200170,4
10711,200030,2
10711,200150,8
10711,200260,1
10711,200070,12
10711,200110,9
10711,200010,3
10711,200180,6
10711,200211,1
10711,200210,11
10711,200213,1
10711,200120,2
10711,200040,11
10711,200080,7
10711,200230,6
10711,200141,7
10711,200140,2
10711,200020,2
10711,200100,14
10711,200160,3
10711,20003,1
10711,20002,1
10711,20001,1
10711,200212,1
10711,200190,3
10711,200090,1
10711,200135,1
10711,200200,1
10711,200050,4
10711,200130,1
10711,200220,7
10712,20021,5
10712,200380,23
10712,20201,1
10712,200360,12
10712,200440,11
10712,20058,1
10712,200460,11
10712,20063,1
10712,20053,1
10712,20206,1
10712,20067,7
10712,20038,1
10712,20039,1
10712,20238,1
10712,20213,10
10712,20211,8
10712,20032,1
10712,20235,3
10712,20030,10
10712,20031,1
10712,20037,1
10712,20034,2
10712,20035,1
10712,20226,7
10712,200310,27
10712,20223,3
10712,20239,1
10712,20026,2
10712,200350,16
10712,20207,5
10712,200370,16
10712,20203,2
10712,20220,3
10712,20066,1
10712,200430,20
10712,200450,21
10712,20043,1
10712,20042,5
10712,20041,5
10712,20040,1
10712,20047,1
10712,20046,1
10712,20045,1
10712,20044,1
10712,20241,2
10712,20048,1
10712,20025,4
10712,20068,14
10712,20027,14
10712,20022,3
10712,200320,27
10712,20249,3
10712,200340,35
10712,20236,1
10713,200400,16
10713,200416,1
10713,200415,1
10713,20057,1
10713,900420,2
10713,200420,7
10001,10100,1
10826,180393,1
10826,180390,13
10826,12087,3
10826,12033,6
10826,12031,3
10826,12030,3
10826,12034,3
10826,12024,1
10826,12025,1
10826,12026,1
10826,12027,1
10826,12021,1
10826,12022,1
10826,12023,1
10826,180391,4
10826,12029,5
10826,12088,1
10826,180392,5
10827,12087,1
10827,12105,1
10827,23088,1
10825,180300,2
10825,180280,4
10825,12006,1
10825,12007,1
10825,12017,1
10825,12005,2
10825,12087,1
10825,180290,2
10825,12028,8
10825,12088,2
10828,12122,1
10828,180673,1
10828,12087,1
10828,180670,17
10828,12120,1
10828,180650,37
10828,180664,1
10828,12121,1
10828,180653,1
10828,180660,40
10828,180663,1
10829,180830,11
10829,180840,11
10829,180850,48
10829,180960,1
10829,12087,1
10829,180860,84
10829,180870,13
10829,180950,1
10829,12028,10
