ObjectType,LookInfoKey,ObjectName,IsVariation,BaseObejctName,VariationFrom,Desc,Mesh,Material,Animset,PhysicAsset,ActionObject,PartsMesh_1,PartsMesh_2,PartsMesh_3,ParticleSystem
MN,EFDLChar_MN_AHMS_01-5.MN_AHMS_01-5,MN_AHMS_01-5,True,MN_AHMS_00,MN_AHMS_01,소금 사막 메라뱀,MN_AHMS_01.Mesh.MN_AHMS_01_SK,MN_AHMS_01-5.Mat.MN_AHMS_01-5_MI,MN_AHMS_00.Ani.MN_AHMS_00_Ani,MN_AHMS_00.Ani.MN_AHMS_00_Physics,,,,,
MN,EFDLChar_MN_AHPF_00.MN_AHPF_00,MN_AHPF_00,False,MN_AHPF_00,MN_AHPF_00,역병 추종자,MN_AHPF_00.Mesh.MN_AHPF_00_SK,,MN_AHPF_00.Ani.MN_AHPF_00_Ani,MN_AHPF_00.Ani.MN_AHPF_00_Physics,,,,,
MN,EFDLChar_MN_AHPG_00.MN_AHPG_00,MN_AHPG_00,False,MN_AHPG_00,MN_AHPG_00,역병지기,MN_AHPG_00.Mesh.MN_AHPG_00_SK,,MN_AHPG_00.Ani.MN_AHPG_00_Ani,MN_AHPG_00.Ani.MN_AHPG_00_Physics,,,,,
MN,EFDLChar_MN_AHPI_00.MN_AHPI_00,MN_AHPI_00,False,MN_AHPI_00,MN_AHPI_00,역병 인도자,MN_AHPI_00.Mesh.MN_AHPI_00_SK,,MN_AHPI_00.Ani.MN_AHPI_00_Ani,MN_AHPI_00.Ani.MN_AHPI_00_Physics,,MN_AHPI_00.Mesh.MN_AHPI_Weapon_SK,,,FX_MN_03.Par_H_AHPI_Aura_01
MN,EFDLChar_MN_ASDD_00.MN_ASDD_00,MN_ASDD_00,False,MN_ASDD_00,MN_ASDD_00,다단,MN_ASDD_00.Mesh.MN_ASDD_00_SK,,MN_ASDD_00.Ani.MN_ASDD_00_Ani,MN_ASDD_00.Ani.MN_ASDD_00_Physics,,WP_MN_ASDD_00.Mesh.WP_MN_ASDD_00_SK,,,
MN,EFDLChar_MN_ASDD_00-1.MN_ASDD_00-1,MN_ASDD_00-1,True,MN_ASDD_00,MN_ASDD_00,아케라,MN_ASDD_00.Mesh.MN_ASDD_00_SK,MN_ASDD_00-1.Mat.MN_ASDD_00-1_MI,MN_ASDD_00.Ani.MN_ASDD_00_Ani,MN_ASDD_00.Ani.MN_ASDD_00_Physics,,WP_MN_ASDD_00.Mesh.WP_MN_ASDD_00_SK,,,
MN,EFDLChar_MN_ASDD_01.MN_ASDD_01,MN_ASDD_01,True,MN_ASDD_00,MN_ASDD_01,도적단 탐색꾼,MN_ASDD_01.Mesh.MN_ASDD_01_SK,,MN_ASDD_01.Ani.MN_ASDD_01_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,,,,
MN,EFDLChar_MN_ASDD_01-1.MN_ASDD_01-1,MN_ASDD_01-1,True,MN_ASDD_00,MN_ASDD_01,도적단 날강도,MN_ASDD_01.Mesh.MN_ASDD_01_SK,MN_ASDD_01-1.Mat.MN_ASDD_01-1_MI,MN_ASDD_01.Ani.MN_ASDD_01_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,,,,
MN,EFDLChar_MN_ASDD_01-2.MN_ASDD_01-2,MN_ASDD_01-2,True,MN_ASDD_00,MN_ASDD_01,도적단 노예감독,MN_ASDD_01.Mesh.MN_ASDD_01_SK,MN_ASDD_01-2.Mat.MN_ASDD_01-2_MI,MN_ASDD_01.Ani.MN_ASDD_01_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,,,,
MN,EFDLChar_MN_ASDD_01-3.MN_ASDD_01-3,MN_ASDD_01-3,True,MN_ASDD_00,MN_ASDD_01,도적단 노예감독-1,MN_ASDD_01.Mesh.MN_ASDD_01_SK,MN_ASDD_01-3.Mat.MN_ASDD_01-3_MI,MN_ASDD_01.Ani.MN_ASDD_01_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,,,,
MN,EFDLChar_MN_ASDD_02.MN_ASDD_02,MN_ASDD_02,True,MN_ASDD_00,MN_ASDD_02,도적단 약탈자,MN_ASDD_02.Mesh.MN_ASDD_02_SK,,MN_ASDD_02.Ani.MN_ASDD_02_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,WP_CMSW_02.Mesh.WP_CMSW_02_SK,,,
MN,EFDLChar_MN_ASDD_02-1.MN_ASDD_02-1,MN_ASDD_02-1,True,MN_ASDD_00,MN_ASDD_02,도적단 소매치기,MN_ASDD_02.Mesh.MN_ASDD_02_SK,MN_ASDD_02-1.Mat.MN_ASDD_02-1_MI,MN_ASDD_02.Ani.MN_ASDD_02_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,WP_CMSW_02.Mesh.WP_CMSW_02_SK,,,
MN,EFDLChar_MN_ASDD_02-2.MN_ASDD_02-2,MN_ASDD_02-2,True,MN_ASDD_00,MN_ASDD_02,도적단 감시꾼,MN_ASDD_02.Mesh.MN_ASDD_02_SK,MN_ASDD_02-2.Mat.MN_ASDD_02-2_MI,MN_ASDD_02.Ani.MN_ASDD_02_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,WP_CMSW_02.Mesh.WP_CMSW_02_SK,,,
MN,EFDLChar_MN_ASDD_02-3.MN_ASDD_02-3,MN_ASDD_02-3,True,MN_ASDD_00,MN_ASDD_02,도적단 운반책,MN_ASDD_02.Mesh.MN_ASDD_02_SK,MN_ASDD_02-3.Mat.MN_ASDD_02-3_MI,MN_ASDD_02.Ani.MN_ASDD_02_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,WP_CMSW_02.Mesh.WP_CMSW_02_SK,,,
MN,EFDLChar_MN_ASDD_03.MN_ASDD_03,MN_ASDD_03,True,MN_ASDD_00,MN_ASDD_03,로콘,MN_ASDD_03.Mesh.MN_ASDD_03_SK,,MN_ASDD_02.Ani.MN_ASDD_02_Ani,MN_ASDD_03.Ani.MN_ASDD_03_Physics,,,,,
MN,EFDLChar_MN_ASTD_00.MN_ASTD_00,MN_ASTD_00,False,MN_ASTD_00,MN_ASTD_00,토딕,MN_ASTD_00.Mesh.MN_ASTD_00_SK,,MN_ASTD_00.Ani.MN_ASTD_00_Ani,MN_ASTD_00.Ani.MN_ASTD_00_Physics,,,,,
MN,EFDLChar_MN_ASTD_01.MN_ASTD_01,MN_ASTD_01,True,MN_ASTD_00,MN_ASTD_01,소금바위거북,MN_ASTD_01.Mesh.MN_ASTD_01_SK,,MN_ASTD_01.Ani.MN_ASTD_01_Ani,MN_ASTD_01.Ani.MN_ASTD_01_Physics,,,,,
MN,EFDLChar_MN_ASTD_02.MN_ASTD_02,MN_ASTD_02,True,MN_ASTD_00,MN_ASTD_02,거대소금바위거북,MN_ASTD_02.Mesh.MN_ASTD_02_SK,,MN_ASTD_02.Ani.MN_ASTD_02_Ani,MN_ASTD_02.Mesh.MN_ASTD_02_SK_Physics,,,,,
MN,EFDLChar_MN_ASTD_02-1.MN_ASTD_02-1,MN_ASTD_02-1,True,MN_ASTD_00,MN_ASTD_02,썩은구름소금바위거북,MN_ASTD_02-1.Mesh.MN_ASTD_02-1_SK,,MN_ASTD_02.Ani.MN_ASTD_02_Ani,MN_ASTD_02.Mesh.MN_ASTD_02_SK_Physics,,,,,
MN,EFDLChar_MN_ASYM_00.MN_ASYM_00,MN_ASYM_00,False,MN_ASYM_00,MN_ASYM_00,젊은여성주술사,MN_ASYM_00.Mesh.MN_ASYM_00_SK,,HM_FE02.ani_0000.HM_FE02_0000_00A_Nor_Ani,HM_FE02.Mesh.HM_FE02_Physics,,MN_Head_FE02_006.Mesh.MN_Head_FE02_006_SK,,,
MN,EFDLChar_MN_BSTCH_00.MN_BSTCH_00,MN_BSTCH_00,False,MN_BSTCH_00,MN_BSTCH_00,시저혼,MN_BSTCH_00.Mesh.MN_BSTCH_00_SK,,MN_BSTCH_00.Ani.MN_BSTCH_00_Ani,MN_BSTCH_00.Ani.MN_BSTCH_00_Physics,,,,,
MN,EFDLChar_MN_BSTDR_00.MN_BSTDR_00,MN_BSTDR_00,False,MN_BSTDR_00,MN_BSTDR_00,디바우러,MN_BSTDR_00.Mesh.MN_BSTDR_00_SK,,MN_BSTDR_00.Ani.MN_BSTDR_00_Ani,MN_BSTDR_00.Ani.MN_BSTDR_00_Physics,,,,,
MN,EFDLChar_MN_BSTRH_00.MN_BSTRH_00,MN_BSTRH_00,False,MN_BSTRH_00,MN_BSTRH_00,라이온헤드,MN_BSTRH_00.Mesh.MN_BSTRH_00_SK,,MN_BSTRH_00.Ani.MN_BSTRH_00_Ani,MN_BSTRH_00.Mesh.MN_BSTRH_00_Physics,,,,,
MN,EFDLChar_MN_BUGPG_00.MN_BUGPG_00,MN_BUGPG_00,False,MN_BUGPG_00,MN_BUGPG_00,독메뚜기,MN_BUGPG_00.Mesh.MN_BUGPG_00_SK,,MN_BUGPG_00.Ani.MN_BUGPG_00_Ani,MN_BUGPG_00.Mesh.MN_BUGPG_00_Physics,,,,,
MN,EFDLChar_MN_BUGPG_00-1.MN_BUGPG_00-1,MN_BUGPG_00-1,True,MN_BUGPG_00,MN_BUGPG_00,붉은독메뚜기,MN_BUGPG_00.Mesh.MN_BUGPG_00_SK,MN_BUGPG_00-1.Mat.MN_BUGPG_00-1_MI,MN_BUGPG_00.Ani.MN_BUGPG_00_Ani,MN_BUGPG_00.Mesh.MN_BUGPG_00_Physics,,,,,
MN,EFDLChar_MN_CDEBC_00.MN_CDEBC_00,MN_CDEBC_00,False,MN_CDEBC_00,MN_CDEBC_00,질병_밤크,MN_CDEBC_00.Mesh.MN_CDEBC_00_SK,,MN_CDEBC_00.Ani.MN_CDEBC_00_Ani,MN_CDEBC_00.Ani.MN_CDEBC_00_Physics,,,,,fx_mn_01.Par_B_CDEBC_IDLE
MN,EFDLChar_MN_CDEBC_00-1.MN_CDEBC_00-1,MN_CDEBC_00-1,True,MN_CDEBC_00,MN_CDEBC_00,크로밤크,MN_CDEBC_00.Mesh.MN_CDEBC_00_SK,MN_CDEBC_00-1.Mat.MN_CDEBC_00-1_MI,MN_CDEBC_00.Ani.MN_CDEBC_00_Ani,MN_CDEBC_00.Ani.MN_CDEBC_00_Physics,,,,,fx_mn_01.Par_B_CDEBC_IDLE
MN,EFDLChar_MN_CDEBC_00-2.MN_CDEBC_00-2,MN_CDEBC_00-2,True,MN_CDEBC_00,MN_CDEBC_00,범크,MN_CDEBC_00.Mesh.MN_CDEBC_00_SK,MN_CDEBC_00-2.Mat.MN_CDEBC_00-2_MI,MN_CDEBC_00.Ani.MN_CDEBC_00_Ani,MN_CDEBC_00.Ani.MN_CDEBC_00_Physics,,,,,fx_mn_01.Par_B_CDEBC_IDLE
MN,EFDLChar_MN_CDEBZ_00.MN_CDEBZ_00,MN_CDEBZ_00,False,MN_CDEBZ_00,MN_CDEBZ_00,질병_바즐라,MN_CDEBZ_00.Mesh.MN_CDEBZ_00_SK,,MN_CDEBZ_00.Ani.MN_CDEBZ_00_Ani,,,,,,FX_MN_04.Par_I_CDEBZ_DefaultLoop_02
MN,EFDLChar_MN_CDEHJ_00.MN_CDEHJ_00,MN_CDEHJ_00,False,MN_CDEHJ_00,MN_CDEHJ_00,질병_하르잘,MN_CDEHJ_00.Mesh.MN_CDEHJ_00_SK,,MN_CDEHJ_00.Ani.MN_CDEHJ_00_Ani,MN_CDEHJ_00.Ani.MN_CDEHJ_00_Physics,,,,,
MN,EFDLChar_MN_CDEKK_00.MN_CDEKK_00,MN_CDEKK_00,False,MN_CDEKK_00,MN_CDEKK_00,질병_카미칼,MN_CDEKK_00.Mesh.MN_CDEKK_00_sk,,MN_CDEKK_00.Ani.MN_CDEKK_00_Ani,MN_CDEKK_00.Ani.MN_CDEKK_00_Physics,,,,,
MN,EFDLChar_MN_CDEKK_00-1.MN_CDEKK_00-1,MN_CDEKK_00-1,True,MN_CDEKK_00,MN_CDEKK_00,칼라도세,MN_CDEKK_00.Mesh.MN_CDEKK_00_sk,MN_CDEKK_00-1.Mat.MN_CDEKK_00-1_MI,MN_CDEKK_00.Ani.MN_CDEKK_00_Ani,MN_CDEKK_00.Ani.MN_CDEKK_00_Physics,,,,,
MN,EFDLChar_MN_CDEPC_00.MN_CDEPC_00,MN_CDEPC_00,False,MN_CDEPC_00,MN_CDEPC_00,질병_파츨,MN_CDEPC_00.Mesh.MN_CDEPC_00_SK,,MN_CDEPC_00.Ani.MN_CDEPC_00_Ani,MN_CDEPC_00.Ani.MN_CDEPC_00_Physics,,,,,FX_BS_03.mark.Par_B_Select_02
MN,EFDLChar_MN_CDEPC_00-1.MN_CDEPC_00-1,MN_CDEPC_00-1,True,MN_CDEPC_00,MN_CDEPC_00,질병_역병충 성체,MN_CDEPC_00.Mesh.MN_CDEPC_00_SK,MN_CDEPC_00-1.Mat.MN_CDEPC_00-01_mi,MN_CDEPC_00.Ani.MN_CDEPC_00_Ani,MN_CDEPC_00.Ani.MN_CDEPC_00_Physics,,,,,FX_BS_03.mark.Par_B_Select_02
MN,EFDLChar_MN_CDEPC_00-2.MN_CDEPC_00-2,MN_CDEPC_00-2,True,MN_CDEPC_00,MN_CDEPC_00,노츨,MN_CDEPC_00.Mesh.MN_CDEPC_00_SK,MN_CDEPC_00-2.Mat.MN_CDEPC_00-2_MI,MN_CDEPC_00.Ani.MN_CDEPC_00_Ani,MN_CDEPC_00.Ani.MN_CDEPC_00_Physics,,,,,
MN,EFDLChar_MN_CDEPC_01.MN_CDEPC_01,MN_CDEPC_01,True,MN_CDEPC_00,MN_CDEPC_01,질병_역병충 무리,MN_CDEPC_01.Mesh.MN_CDEPC_01,,MN_CDEPC_00.Ani.MN_CDEPC_00_Ani,MN_CDEPC_01.Ani.MN_CDEPC_01_Physics,,,,,FX_BS_03.mark.Par_B_Select_02
MN,EFDLChar_MN_CDEPC_02.MN_CDEPC_02,MN_CDEPC_02,True,MN_CDEPC_00,MN_CDEPC_02,파리 떼,MN_CDEPC_01.Mesh.MN_CDEPC_01,MN_CDEPC_02.Mat.MN_CDEPC_02_MI,MN_CDEPC_00.Ani.MN_CDEPC_00_Ani,MN_CDEPC_01.Ani.MN_CDEPC_01_Physics,,,,,FX_BS_03.mark.Par_B_Select_02
MN,EFDLChar_MN_CDKAM_00.MN_CDKAM_00,MN_CDKAM_00,False,MN_CDKAM_00,MN_CDKAM_00,어둠_아드모스,MN_CDKAM_00.Mesh.MN_CDKAM_00_SK,,MN_CDKAM_00.Ani.MN_CDKAM_00_Ani,MN_CDKAM_00.Ani.MN_CDKAM_00_Physics,,MN_CDKAM_00.Mesh.WP_MN_CDKAM_00,,,fx_mn_01.Par_D_PAVR_Default_03_1
MN,EFDLChar_MN_CDKEK_00.MN_CDKEK_00,MN_CDKEK_00,False,MN_CDKEK_00,MN_CDKEK_00,에둔켈,MN_CDKEK_00.Mesh.MN_CDKEK_SK,,MN_CDKEK_00.Ani.MN_CDKEK_00_Ani,MN_CDKEK_00.Ani.MN_CDKEK_Sk_Physics,,MN_CDKEK_00.Mesh.MN_CDKEK_WP,,,
MN,EFDLChar_MN_CDKKM_00.MN_CDKKM_00,MN_CDKKM_00,False,MN_CDKKM_00,MN_CDKKM_00,칼트말루스,MN_CDKKM_00.Mesh.MN_CDKKM_00_SK,,MN_CDKKM_00.Ani.MN_CDKKM_00_Ani,MN_CDKKM_00.Ani.MN_CDKKM_00_Physics,,,,,FX_MN_04.Par_I_CDKKM_Foot_02
MN,EFDLChar_MN_CDKMK_00.MN_CDKMK_00,MN_CDKMK_00,False,MN_CDKMK_00,MN_CDKMK_00,어둠_모르칼로,MN_CDKMK_00.Mesh.MN_CDKMK_00_SK,,MN_CDKMK_00.Ani.MN_CDKMK_00_Ani,MN_CDKMK_00.Ani.MN_CDKMK_00_Physics,,MN_CDKMK_00.Mesh.MN_CDKMK_00_Weapon_01,,,FX_MN_04.Par_I_CDKMK_Dafult_01
MN,EFDLChar_MN_CDKSA_00.MN_CDKSA_00,MN_CDKSA_00,False,MN_CDKSA_00,MN_CDKSA_00,어둠_스키아라,MN_CDKSA_00.Mesh.MN_CDKSA_00_SK,,MN_CDKSA_00.Ani.MN_CDKSA_00_Ani,MN_CDKSA_00.Ani.MN_CDKSA_00_Physics,,,,,FX_MN_04.Par_I_CDKSA_Eye_01
MN,EFDLChar_MN_CDSAA_00.MN_CDSAA_00,MN_CDSAA_00,False,MN_CDSAA_00,MN_CDSAA_00,욕망_에르아쉬,MN_CDSAA_00.Mesh.MN_CDSAA_00_SK,,MN_CDSAA_00.Ani.MN_CDSAA_00_Ani,MN_CDSAA_00.Ani.MN_CDSAA_00_Physics,,,,,
MN,EFDLChar_MN_CDSAA_01.MN_CDSAA_01,MN_CDSAA_01,True,MN_CDSAA_00,MN_CDSAA_01,파피마,MN_CDSAA_01.Mesh.MN_CDSAA_01_SK,,MN_DPTM_00.Ani.MN_DPTM_00_Ani,MN_DPTM_00.Ani.MN_DPTM_00_Physics,,,,,
MN,EFDLChar_MN_CDSBA_00.MN_CDSBA_00,MN_CDSBA_00,False,MN_CDSBA_00,MN_CDSBA_00,욕망_블러디앤 뱀파이어,MN_CDSBA_00.Mesh.MN_CDSBA_00_SK,MN_CDSBA_00.Mat.MN_CDSBA_00_MI,MN_CDSBA_00.Ani.MN_CDSBA_00_Ani,MN_CDSBA_00.Mesh.MN_CDSBA_00_Physics,,,,,FX_G_01.FX_Par.Par_G_BloodSpread_001
MN,EFDLChar_MN_CDSHR_00.MN_CDSHR_00,MN_CDSHR_00,False,MN_CDSHR_00,MN_CDSHR_00,욕망_히르아,MN_CDSHR_00.Mesh.MN_CDSHR_00_SK,,MN_CDSHR_00.Ani.MN_CDSHR_00_Ani,MN_CDSHR_00.Mesh.MN_CDSHR_00_Physics,,MN_CDSHR_00.Mesh.WP_MN_CDSHR_00_SK,MN_CDSHR_00.Mesh.WP_MN_CDSHR_00_SK,,
MN,EFDLChar_MN_CDSPA_00.MN_CDSPA_00,MN_CDSPA_00,False,MN_CDSPA_00,MN_CDSPA_00,프루아티,MN_CDSPA_00.Mesh.MN_CDSPA_00_SK,,MN_CDSPA_00.Ani.MN_CDSPA_00_Ani,MN_CDSPA_00.Ani.MN_CDSPA_00_Physics,,MN_CDSPA_00.Mesh.WP_MN_CDSPA_00_SK,,,
MN,EFDLChar_MN_CDSRR_00.MN_CDSRR_00,MN_CDSRR_00,False,MN_CDSRR_00,MN_CDSRR_00,욕망_라미로스,MN_CDSRR_00.Mesh.MN_CDSRR_00_SK,,MN_CDSRR_00.Ani.MN_CDSRR_00_Ani,MN_CDSRR_00.Mesh.MN_CDSRR_00_Physics,,MN_CDSRR_00.Mesh.WP_MN_CDSRR_00_SK,MN_CDSRR_00.Mesh.WP_MN_CDSRR_00_SK,,
MN,EFDLChar_MN_CMBA_00.MN_CMBA_00,MN_CMBA_00,False,MN_CMBA_00,MN_CMBA_00,욕망_블러디앤,MN_CDSBA_00.Mesh.MN_CDSBA_00_SK,,,,,,,,
MN,EFDLChar_MN_CMDCG_00.MN_CMDCG_00,MN_CMDCG_00,False,MN_CMDCG_00,MN_CMDCG_00,설치 몬스터,MN_CMDCG_00.Mesh.MN_CMDCG_00,,MN_CMDCG_00.Ani.MN_CMDCG_00_Ani,MN_CMDCG_00.Ani.MN_CMDCG_00_Physics,,MN_CMDCG_00.Mesh.MN_CMDCG_01,,,
MN,EFDLChar_MN_CMDGR_00.MN_CMDGR_00,MN_CMDGR_00,False,MN_CMDGR_00,MN_CMDGR_00,광기_고로아,MN_CMDGR_00.Mesh.MN_CMDGR_00_SK,,MN_CMDGR_00.Ani.MN_CMDGR_00_Ani,MN_CMDGR_00.Ani.MN_CMDGR_00_Physics,,WP_MN_CMDGR_00.Mesh.WP_MN_CMDGR_00_SK,,,
MN,EFDLChar_MN_CMDKC_00.MN_CMDKC_00,MN_CMDKC_00,False,MN_CMDKC_00,MN_CMDKC_00,광기_키리코,MN_CMDKC_00.Mesh.MN_CMDKC_00_SK,,MN_CMDKC_00.Ani.MN_CMDKC_00_Ani,MN_CMDKC_00.Ani.MN_CMDKC_00_Physics,,WP_MN_CMDKC_00.Mesh.WP_MN_CMDKC_00_SK,WP_MN_CMDKC_00.Mesh.WP_MN_CMDKC_00_SK,,
MN,EFDLChar_MN_CMDSM_00.MN_CMDSM_00,MN_CMDSM_00,False,MN_CMDSM_00,MN_CMDSM_00,광기_샤모스,MN_CMDSM_00.Mesh.MN_CMDSM_00_All_SK,,,,,,,,
MN,EFDLChar_MN_CMDUK_00.MN_CMDUK_00,MN_CMDUK_00,False,MN_CMDUK_00,MN_CMDUK_00,광기_우피르왕,MN_CMDUK_00.Mesh.MN_CMDUK_00_Sk,,MN_CMDUK_00.Ani.MN_CMDUK_00_Ani,MN_CMDUK_00.Ani.MN_CMDUK_00_Physics,,,,,
MN,EFDLChar_MN_CMDUP_00.MN_CMDUP_00,MN_CMDUP_00,False,MN_CMDUP_00,MN_CMDUP_00,광기_우피르,MN_CMDUP_00.Mesh.MN_CMDUP_00_SK,,MN_CMDUP_00.Ani.MN_CMDUP_00_Ani,MN_CMDUP_00.Mesh.MN_CMDUP_00_Physics,,WP_MN_CMDUP_00.Mesh.WP_MN_CMDUP_00_SK,,,fx_mn_00.Par_B_CMDUP_Body_001
MN,EFDLChar_MN_CMDVE_00.MN_CMDVE_00,MN_CMDVE_00,False,MN_CMDVE_00,MN_CMDVE_00,광기_벨레드,MN_CMDVE_00.Mesh.MN_CMDVE_00_SK,,MN_CMDVE_00.Ani.MN_CMDVE_00_Ani,MN_CMDVE_00.Ani.MN_CMDVE_00_Physics,,,,,
MN,EFDLChar_MN_CPTAT_00.MN_CPTAT_00,MN_CPTAT_00,False,MN_CPTAT_00,MN_CPTAT_00,몽환_아티스,MN_CPTAT_00.Mesh.MN_CPTAT_00_sk,,MN_CPTAT_00.Ani.MN_CPTAT_00_Ani,MN_CPTAT_00.Ani.MN_CPTAT_00_physics,,,,,fx_mn_02.Par_E_CPTATAura_01
