Key,Group,Data
tip.name.chat_filter_system_char_grow,\채팅\시스템메시지\캐릭터,성장정보
tip.name.chat_filter_system_community,\채팅\시스템메시지\커뮤니티,커뮤니티
tip.name.chat_filter_system_community_friend,\채팅\시스템메시지\커뮤니티,친구정보
tip.name.chat_filter_system_community_friend_login,\채팅\시스템메시지\커뮤니티,친구 접속 알림
tip.name.chat_filter_system_community_guild,\채팅\시스템메시지\커뮤니티,길드정보
tip.name.chat_filter_system_community_guild_login,\채팅\시스템메시지\커뮤니티,길드원 접속 알림
tip.name.chat_filter_system_community_party,\채팅\시스템메시지\커뮤니티,파티정보
tip.name.chat_filter_system_forcenotice,\채팅\시스템메시지,강제 송출
tip.name.chat_filter_system_get,\채팅\시스템메시지\획득,획득
tip.name.chat_filter_system_get_exp,\채팅\시스템메시지\획득,경험치 획득
tip.name.chat_filter_system_get_gold,\채팅\시스템메시지\획득,화폐 획득
tip.name.chat_filter_system_get_includeparty,\채팅\시스템메시지\획득,파티원포함
tip.name.chat_filter_system_get_item,\채팅\시스템메시지\획득,아이템 획득
tip.name.chat_filter_system_world,\채팅\시스템메시지\월드,월드
tip.name.chat_filter_system_world_chaosgate,\채팅\시스템메시지\월드,ㅁ10카오스게이트
tip.name.chat_filter_system_world_interaction,\채팅\시스템메시지\월드,상호작용
tip.name.chat_filter_system_world_npctalk,\채팅\시스템메시지\월드,NPC대사
tip.name.chat_filter_system_world_visitzone,\채팅\시스템메시지\월드,지역방문
tip.name.chat_filter_talk,\채팅\대화메시지,대화 메시지
tip.name.chat_filter_talk_guild,\채팅\대화메시지,길드 대화
tip.name.chat_filter_talk_normal,\채팅\대화메시지,일반 대화
tip.name.chat_filter_talk_party,\채팅\대화메시지,파티 대화
tip.name.chat_filter_talk_server,\채팅\대화메시지,전체 대화
tip.name.chat_filter_talk_socialaction,\채팅\대화메시지,소셜 행동
tip.name.chat_filter_talk_team,\채팅\대화메시지,연합 대화
tip.name.chat_filter_talk_whisper,\채팅\대화메시지,귓속말
tip.name.chat_filter_talk_zone,\채팅\대화메시지,지역 대화
tip.name.chat_option,\채팅\탭메뉴,탭 설정
tip.name.chat_tab_battle,\채팅\탭이름,전투
tip.name.chat_tab_new,\채팅\탭이름,새 탭({0})
tip.name.chat_tab_normal,\채팅\탭이름,일반
tip.name.chat_tab_system,\채팅\탭이름,시스템
tip.name.common_ability_information,\공통,어빌리티 정보
tip.name.common_ability_stone,,어빌리티 스톤
tip.name.common_abilitytest_1,\공통,플러스1단계 테스트
tip.name.common_abilitytest_10,\공통,마이너스1,2단계 테스트
tip.name.common_abilitytest_11,\공통,마이너스1,3단계 테스트
tip.name.common_abilitytest_12,\공통,마이너스2,3단계 테스트
tip.name.common_abilitytest_2,\공통,플러스2단계 테스트
tip.name.common_abilitytest_3,\공통,플러스3단계 테스트
tip.name.common_abilitytest_4,\공통,플러스1,2단계 테스트
tip.name.common_abilitytest_5,\공통,플러스1,3단계 테스트
tip.name.common_abilitytest_6,\공통,플러스2,3단계 테스트
tip.name.common_abilitytest_7,\공통,마이너스1단계 테스트
tip.name.common_abilitytest_8,\공통,마이너스2단계 테스트
tip.name.common_abilitytest_9,\공통,마이너스3단계 테스트
tip.name.common_accept,\공통,수락
tip.name.common_accessories_meta,,악세서리 메타
tip.name.common_account_sharing_impossible,\공통,계정 공유 불가능
tip.name.common_achievement,\공통,도전 과제
tip.name.common_acquisition,\공통,획득
tip.name.common_adventure_log,\공통,모험의 서
tip.name.common_airborn,\공통,에어본
tip.name.common_all_available,\공통,모두가능
tip.name.common_apply,\공통,적용
tip.name.common_archeology,,고고학
tip.name.common_armor_meta,,방어구 메타
tip.name.common_attack_avoidance,\공통,공격회피
tip.name.common_basic_attack,\공통,기본 공격
tip.name.common_basic_move,\공통,기본 이동
tip.name.common_battle_items_1,\공통,배틀 아이템1
tip.name.common_battle_items_2,\공통,배틀 아이템2
tip.name.common_battle_items_3,\공통,배틀 아이템3
tip.name.common_battle_items_4,\공통,배틀 아이템4
tip.name.common_battleitem,,공용
tip.name.common_battleitem_meta,,베틀아이템 메타
tip.name.common_battleitem_mod_only,,모드 전용
tip.name.common_battlemode,\공통,전투모드
tip.name.common_before_state,\공통,이전 상태로 전환
tip.name.common_bound,\공통,바운드
tip.name.common_brilliant_handwork_kit,\공통,빛나는 세공 키트
tip.name.common_cancel,,취소
tip.name.common_ch_info,\공통,캐릭터 정보
tip.name.common_chill,\공통,냉기
tip.name.common_class_airswordmaster_only,\공통,어검술사전용
tip.name.common_class_alchemist_only,\공통,연금술사전용
tip.name.common_class_arcana_only,\공통,마녀전용
tip.name.common_class_assassin_only,\공통,암살자전용
tip.name.common_class_astrologer_only,\공통,점성술사전용
tip.name.common_class_battlemage,\공통,배틀마스터
tip.name.common_class_battlemage_only,\공통,배틀마스터전용
tip.name.common_class_berserker_only,\공통,버서커전용
tip.name.common_class_destroyer_only,\공통,디스트로이어전용
tip.name.common_class_devilhunter_only,\공통,데빌헌터전용
tip.name.common_class_fighter_only,\공통,격투가전용
tip.name.common_class_forcemaster_only,\공통,기공사전용
tip.name.common_class_hunter_only,\공통,헌터전용
tip.name.common_class_infighter_only,\공통,인파이터전용
tip.name.common_class_landstalker_only,\공통,랜드스토커전용
tip.name.common_class_magician_only,\공통,마법사전용
tip.name.common_class_musician_only,\공통,음유시인전용
tip.name.common_class_pirate_only,\공통,해적전용
tip.name.common_class_sage_only,\공통,현자전용
tip.name.common_class_shadow_only,\공통,쉐도우전용
tip.name.common_class_soultaker_only,\공통,퇴마사전용
tip.name.common_class_specialist,\공통,방랑자
tip.name.common_class_specialist_only,\공통,방랑자전용
tip.name.common_class_summoner_only,\공통,정령소환사전용
tip.name.common_class_warlord_only,\공통,워로드전용
tip.name.common_class_warrior_only,\공통,전사전용
tip.name.common_complete,\공통,완료
tip.name.common_complete_condition,\공통,완료 조건
tip.name.common_confirm,\공통,확인
tip.name.common_consumable_items_1,\공통,소모성 아이템1
tip.name.common_consumable_items_2,\공통,소모성 아이템2
tip.name.common_consumable_items_3,\공통,소모성 아이템3
tip.name.common_consumable_items_4,\공통,소모성 아이템4
tip.name.common_consume,\공통,소비 아이템 : {0}
tip.name.common_consumption,\공통,소모
tip.name.common_contents_info,\공통,컨텐츠 상황 보기
tip.name.common_cooldown,\공통,쿨타임
tip.name.common_cooldown_group,\공통,그룹 쿨타임
tip.name.common_cooltime,\공통,후 재사용 가능
tip.name.common_creation,\공통,생성
tip.name.common_cummunity,\공통,커뮤니티
tip.name.common_custom_maize_1,\공통,I
tip.name.common_custom_maize_2,\공통,II
tip.name.common_custom_maize_3,\공통,III
tip.name.common_custommize,\공통,스킬 커스터마이징
tip.name.common_damage_absorption,\공통,피해 흡수
tip.name.common_darkness,\공통,암흑
tip.name.common_day,\공통,일
tip.name.common_deal_impossible,\공통,거래 불가능
tip.name.common_destruction,\공통,파괴
tip.name.common_detection,\공통,간파
tip.name.common_devil,\공통,악마
tip.name.common_down,\공통,다운
tip.name.common_downhit,\공통,다운히트
tip.name.common_dragon,\공통,용족
tip.name.common_durability_1,\공통,내구도
tip.name.common_effective_range,\공통,시전 가능 거리
tip.name.common_element,,원소
